,Event,Height,BMI,Age,GDP,x,y
18,Athletics Men's Hammer Throw,1.1364588405090152,2.637871324213728,0.3162659985964812,-0.33948874054442985,0.3866591803847035,-2.931428997592751
19,Athletics Men's High Jump,1.5414074233588326,-0.9618692852555345,-0.559849749068305,-0.3431345205786085,-1.2630540555150571,-1.2615337771781052
20,Athletics Men's Javelin Throw,1.1364588405090152,1.1347803111371983,0.024227416041552485,-0.006867219989561031,0.26341561134973474,-1.5444233931512878
21,Athletics Men's Long Jump,0.5965273967092588,-0.5443312470024999,-0.559849749068305,-0.5741323519578774,-0.8714235078164341,-0.32800496186508593
22,Athletics Men's Marathon,-0.8882840737400715,-1.3650342234566475,0.9003431637063387,-0.6070996399740785,0.059395214447281776,1.9430556892684232
23,Athletics Men's Pole Vault,0.731510257659198,-0.36826021183795626,-0.2678111665133762,0.024171093121243725,-0.1704070267530191,-0.4586085678763575
24,Athletics Men's Shot Put,1.6763902843087717,3.4771367999051805,0.3162659985964812,-0.2487796083511204,0.518439704288487,-3.9142021835582885
25,Athletics Men's Triple Jump,0.5965273967092588,-0.5157695482228395,-0.2678111665133762,-0.5919535137884561,-0.6333325146437963,-0.25332047913346023
26,Badminton Men's Doubles,0.19157881385944145,-0.3153480491071629,0.024227416041552485,0.7944358202139417,0.6248434367167046,-0.1399259539823384
27,Badminton Men's Singles,0.19157881385944145,-0.4723166549821422,-0.2678111665133762,0.9905661427450972,0.7047471951282566,-0.22718435860118966
28,Badminton Mixed Doubles,0.3265616748093806,-0.3224669187401728,0.3162659985964812,1.3967819462411588,1.3285400204615516,-0.32968106817505904
29,Baseball Men's Baseball,0.5965273967092588,0.5887903512537286,0.024227416041552485,1.767108251628789,1.563395672168809,-1.1077207932011435
30,Basketball Men's Basketball,2.351304589058467,-0.01997221655013779,-0.2678111665133762,-0.5919535137884561,-0.9613718078765768,-2.1060030449822302
31,Beach Volleyball Men's Beach Volleyball,1.94635600620865,0.021861508654923374,1.1923817462612674,1.888998764688386,2.481239355847648,-1.5812256552371906
32,Boxing Men's Bantamweight,-1.6981812394397062,-1.5386021026294958,-1.1439269141781625,-0.7905856037077563,-2.069223700975263,1.8251903067254436
33,Boxing Men's Featherweight,-1.2932326565898888,-1.4104260429512483,-1.1439269141781625,-0.806420360080774,-1.9695751012617186,1.449152991136106
34,Boxing Men's Flyweight,-1.9681469613395843,-1.7149259405001436,-1.1439269141781625,-0.7692935966176706,-2.1826962545695725,2.1047045868471246
35,Boxing Men's Heavyweight,1.1364588405090152,0.7098101441201624,-0.559849749068305,-0.5919535137884561,-0.5974394682758174,-1.3642741784039703
36,Boxing Men's Light-Flyweight,-2.238112683239463,-1.8673752538349844,-1.1439269141781625,-0.7391748007187454,-2.2835297348979244,2.38141828186834
37,Boxing Men's Light-Heavyweight,0.4615445357593197,0.09210926724074518,-0.559849749068305,-0.6903278686375083,-0.7363312055390903,-0.4369489123708955
38,Boxing Men's Light-Middleweight,-0.2133697689903759,-0.449380148545067,-0.8518883316232337,-0.784208585270573,-1.202152257971922,0.2863596989484261
39,Boxing Men's Light-Welterweight,-0.7533012127901324,-0.9351256007574233,-0.8518883316232337,-0.7573822613268565,-1.406905768424588,0.9053721832203394
40,Boxing Men's Lightweight,-1.1582497956399498,-1.124835466914332,-0.8518883316232337,-0.7692935966176706,-1.593839426814915,1.2926978414087682
41,Boxing Men's Middleweight,0.19157881385944145,-0.2769378365044705,-0.8518883316232337,-0.6903278686375083,-1.0901379876621566,-0.1291687803292798
42,Boxing Men's Super-Heavyweight,1.5414074233588326,1.0837594162608084,-0.2678111665133762,-0.30788243134271087,-0.1656840297053436,-1.8550449505998015
43,Boxing Men's Welterweight,-0.4833354908902541,-0.7282911304990295,-0.8518883316232337,-0.7597420821827416,-1.3000203119968665,0.6132365831972505
44,"Canoeing Men's Canadian Doubles, 1,000 metres",-0.010895477565467227,0.1981826862812856,-0.559849749068305,-0.5516805848742701,-0.6771480674817475,-0.0883669138994137
45,"Canoeing Men's Canadian Doubles, 500 metres",0.19157881385944145,0.24523343212132448,-0.2678111665133762,-0.3465721267231528,-0.3378960572213868,-0.23547664158483436
