Event,Sex,Age,Height,Weight,GDP
Boxing Men's Light-Heavyweight,M,24.548780487804876,182.4359756097561,24.33082440353126,7229.908142234604
Boxing Men's Light-Middleweight,M,23.5,176.85714285714286,22.78723852467752,5244.710801253451
Boxing Men's Light-Welterweight,M,23.06367924528302,173.05188679245282,21.331074667615592,6866.2680667815275
Boxing Men's Lightweight,M,23.138173302107727,170.21779859484778,20.827102893393025,6244.302839316183
Boxing Men's Middleweight,M,23.893175074183976,179.49554896142433,23.355436111743675,7481.252737195282
Boxing Men's Super-Heavyweight,M,24.96875,190.25,27.486203425161722,13016.937117942458
Boxing Men's Welterweight,M,23.36829836829837,174.96969696969697,22.07839609481072,6524.3033683845615
Boxing Women's Flyweight,F,27.523809523809526,162.0,19.45967930169411,14982.293739378469
Boxing Women's Lightweight,F,26.68421052631579,167.78947368421052,21.35863657571369,26124.743613078404
Boxing Women's Middleweight,F,25.894736842105264,176.94736842105263,24.044826929381234,30340.560530046572
"Canoeing Men's Canadian Doubles, 1,000 metres",M,24.956410256410255,179.02820512820512,24.41246140741344,9176.345605985114
"Canoeing Men's Canadian Doubles, 500 metres",M,25.505836575875488,179.67315175097275,24.655725236783475,10580.482114543822
"Canoeing Men's Canadian Doubles, Slalom",M,26.3542600896861,176.65470852017938,23.266975626272533,20918.754131505717
"Canoeing Men's Canadian Singles, 1,000 metres",M,25.356828193832598,181.22907488986783,24.851528436029472,10660.340499670203
"Canoeing Men's Canadian Singles, 200 metres",M,25.34,182.68,25.44065981110596,18395.335757557237
"Canoeing Men's Canadian Singles, 500 metres",M,25.125874125874127,181.34265734265733,25.110680905156432,11851.505943442902
"Canoeing Men's Canadian Singles, Slalom",M,25.21472392638037,179.07361963190183,23.070194628184737,19469.46832560666
"Canoeing Men's Kayak Doubles, 1,000 metres",M,25.564575645756456,182.0239852398524,24.200248217119047,12803.936631329585
"Canoeing Men's Kayak Doubles, 200 metres",M,26.942307692307693,183.09615384615384,25.433352383496704,29302.294119720038
"Canoeing Men's Kayak Doubles, 500 metres",M,25.0,183.05464480874318,24.619846571318703,13747.893267599056
"Canoeing Men's Kayak Fours, 1,000 metres",M,25.224787363304984,183.59416767922235,24.447736846229787,11180.440245700973
Canoeing Men's Kayak Relay 4 x 500 metres,M,25.78082191780822,177.0,23.986772940885412,1228.6846248492475
"Canoeing Men's Kayak Singles, 1,000 metres",M,25.624615384615385,182.6,24.37540363733634,13330.584455767234
"Canoeing Men's Kayak Singles, 200 metres",M,27.61904761904762,183.52380952380952,25.92647604822578,25879.05744479931
"Canoeing Men's Kayak Singles, 500 metres",M,25.341346153846153,183.72115384615384,24.662688140700713,14791.148841358558
"Canoeing Men's Kayak Singles, Slalom",M,25.719298245614034,177.85526315789474,23.036915365370774,21113.410038497503
"Canoeing Women's Kayak Doubles, 500 metres",F,24.8775,169.475,22.668583559331687,14956.9060582063
"Canoeing Women's Kayak Fours, 500 metres",F,25.01496259351621,171.09476309226932,22.692440055182736,19296.30825151887
"Canoeing Women's Kayak Singles, 200 metres",F,27.545454545454547,169.05454545454546,22.922459441914388,25632.36683848086
"Canoeing Women's Kayak Singles, 500 metres",F,25.637096774193548,169.63709677419354,22.72819720728911,15770.532808539554
"Canoeing Women's Kayak Singles, Slalom",F,25.730538922155688,166.79640718562874,21.473073962621317,23269.338847507992
