Event,Sex,Age,Height,Weight,NOC
"Fencing Women's epee, Individual",F,26.911214953271028,173.34112149532712,63.18457943925234,RUS
"Fencing Women's epee, Team",F,26.930379746835442,173.54430379746836,63.424050632911396,RUS
Football Men's Football,M,23.094646271510516,177.8272785213512,73.18706182281709,BRA
Football Women's Football,F,24.915650406504064,167.6819105691057,60.925813008130085,BRA
Golf Men's Individual,M,32.15094339622642,179.32075471698113,79.24528301886792,USA
Golf Women's Individual,F,27.10909090909091,168.96363636363637,63.43636363636364,KOR
Gymnastics Men's Floor Exercise,M,23.58966327329679,167.51683633516052,63.13390759592796,DEU
Gymnastics Men's Horizontal Bar,M,23.689709347996857,167.6779261586803,63.252160251374704,DEU
Gymnastics Men's Horse Vault,M,23.590868397493285,167.455684870188,63.11459265890779,DEU
Gymnastics Men's Individual All-Around,M,23.672080433101314,167.5119876256767,63.11136890951276,DEU
Gymnastics Men's Parallel Bars,M,23.694901960784314,167.57647058823528,63.07843137254902,DEU
Gymnastics Men's Pommelled Horse,M,23.688434303697875,167.6955153422502,63.14791502753737,DEU
Gymnastics Men's Rings,M,23.69126984126984,167.43571428571428,63.12301587301587,DEU
Gymnastics Men's Team All-Around,M,23.73556797020484,167.32122905027933,62.814245810055866,DEU
Gymnastics Women's Balance Beam,F,18.637309847878303,156.01200960768614,47.51441152922338,DEU
Gymnastics Women's Floor Exercise,F,18.600803212851407,156.03614457831324,47.50803212851405,DEU
Gymnastics Women's Horse Vault,F,18.523854069223574,156.20299345182414,47.481290926099156,DEU
Gymnastics Women's Individual All-Around,F,18.53142402545744,155.8552108194113,47.32338902147971,DEU
Gymnastics Women's Team All-Around,F,18.493203883495145,155.5097087378641,46.88398058252427,DEU
Gymnastics Women's Uneven Bars,F,18.573141486810552,155.9584332533973,47.42565947242206,DEU
Handball Men's Handball,M,26.836558044806516,188.94144602851324,89.5,DEU
Handball Women's Handball,F,26.06456820016142,174.81194511702986,68.87409200968523,KOR
Hockey Men's Hockey,M,25.756317689530686,176.8783393501805,73.34765342960289,ESP
Hockey Women's Hockey,F,25.407913669064747,166.21007194244604,60.53093525179856,DEU
Judo Men's Extra-Lightweight,M,24.424657534246574,165.65068493150685,61.0513698630137,FRA
Judo Men's Half-Heavyweight,M,26.29936305732484,184.7388535031847,97.14331210191082,DEU
Judo Men's Half-Lightweight,M,24.96551724137931,169.52758620689656,66.61206896551724,FRA
Judo Men's Half-Middleweight,M,25.091428571428573,177.43714285714285,79.21142857142857,DEU
Judo Men's Heavyweight,M,26.83219178082192,189.25342465753425,120.69349315068493,DEU
Judo Men's Lightweight,M,24.81767955801105,172.59668508287294,71.13812154696133,DEU
Judo Men's Middleweight,M,25.651810584958216,180.49303621169918,86.60724233983287,DEU
Judo Men's Open Class,M,26.270588235294117,186.2235294117647,104.37647058823529,DEU
Judo Women's Extra-Lightweight,F,24.197183098591548,156.51408450704224,48.96830985915493,CUB
Judo Women's Half-Heavyweight,F,25.428571428571427,173.02255639097746,76.09398496240601,DEU
Judo Women's Half-Lightweight,F,24.689655172413794,159.51724137931035,52.6551724137931,CHN
Judo Women's Half-Middleweight,F,25.45751633986928,166.2549019607843,63.071895424836605,CHN
Judo Women's Heavyweight,F,26.34108527131783,175.65116279069767,106.10077519379846,CHN
Judo Women's Lightweight,F,25.66216216216216,162.6283783783784,57.310810810810814,FRA
Judo Women's Middleweight,F,25.438356164383563,171.35616438356163,70.06506849315069,CHN
Modern Pentathlon Men's Individual,M,26.2921875,179.7234375,72.4171875,HUN
Modern Pentathlon Men's Team,M,26.17617866004963,178.92307692307693,71.74441687344913,DEU
Modern Pentathlon Women's Individual,F,25.524390243902438,170.0731707317073,58.3109756097561,GBR
Rhythmic Gymnastics Women's Group,F,18.53972602739726,168.95890410958904,49.534246575342465,BGR
Rhythmic Gymnastics Women's Individual,F,19.23170731707317,166.17073170731706,47.63414634146341,BGR
Rowing Men's Coxed Eights,M,25.197268588770864,188.03793626707133,85.22761760242793,DEU
Rowing Men's Coxed Fours,M,24.713028169014084,183.95950704225353,80.9419014084507,DEU
Rowing Men's Coxed Pairs,M,24.760526315789473,180.89736842105262,76.72631578947369,DEU
Rowing Men's Coxless Fours,M,25.470588235294116,189.95118898623278,88.55819774718398,DEU
Rowing Men's Coxless Pairs,M,25.52607709750567,190.05215419501133,87.61791383219955,DEU
Rowing Men's Double Sculls,M,25.653937947494033,189.06443914081146,87.3400954653938,DEU
Rowing Men's Lightweight Coxless Fours,M,27.21875,183.859375,71.98125,DEU
Rowing Men's Lightweight Double Sculls,M,26.5,181.13362068965517,71.73706896551724,ITA
Rowing Men's Quadruple Sculls,M,25.737240075614366,190.88846880907371,90.3875236294896,DEU
Rowing Men's Single Sculls,M,25.916666666666668,188.40384615384616,87.27724358974359,DEU
Rowing Women's Coxed Eights,F,25.412280701754387,177.7719298245614,71.50146198830409,DEU
Rowing Women's Coxed Fours,F,23.623529411764707,173.3764705882353,67.63529411764706,ROU
Rowing Women's Coxed Quadruple Sculls,F,23.796610169491526,171.28813559322035,64.82203389830508,DEU
Rowing Women's Coxless Fours,F,24.483870967741936,179.03225806451613,73.58064516129032,BGR
Rowing Women's Coxless Pairs,F,25.286363636363635,179.29090909090908,73.24545454545455,DEU
Rowing Women's Double Sculls,F,25.579908675799086,178.2648401826484,72.20091324200914,DEU
Rowing Women's Lightweight Double Sculls,F,26.37864077669903,171.0,58.44660194174757,CAN
Rowing Women's Quadruple Sculls,F,26.115671641791046,179.8955223880597,74.03731343283582,DEU
Rowing Women's Single Sculls,F,26.320388349514563,176.44660194174756,70.94174757281553,DEU
Rugby Sevens Men's Rugby Sevens,M,25.980132450331126,182.83443708609272,91.00662251655629,ARG
Rugby Sevens Women's Rugby Sevens,F,26.184931506849313,167.63698630136986,66.5958904109589,BRA
Sailing Men's One Person Dinghy,M,27.74137931034483,184.58620689655172,86.87068965517241,NZL
Sailing Men's One Person Heavyweight Dinghy,M,29.72340425531915,189.63829787234042,96.08510638297872,AUS
Sailing Men's Skiff,M,28.17948717948718,181.7948717948718,78.24358974358974,AUS
Sailing Men's Two Person Dinghy,M,27.187214611872147,177.70091324200914,68.20205479452055,CHE
Sailing Men's Two Person Keelboat,M,34.989583333333336,186.79166666666666,96.53125,BRA
Sailing Men's Windsurfer,M,26.04332129963899,178.66425992779784,70.5740072202166,ARG
Sailing Mixed 5.5 metres,M,35.268115942028984,178.2826086956522,78.01811594202898,DEU
Sailing Mixed Multihull,F,27.46153846153846,170.23076923076923,63.84615384615385,DNK
Sailing Mixed Multihull,M,31.15081967213115,178.87868852459016,73.51475409836065,AUT
Sailing Mixed One Person Dinghy,M,27.90983606557377,181.68579234972677,83.5327868852459,BRA
Sailing Mixed Skiff,M,28.754545454545454,180.35454545454544,75.33636363636364,AUS
Sailing Mixed Three Person Keelboat,F,41.0,160.0,57.0,CAN
Sailing Mixed Three Person Keelboat,M,32.73937677053824,179.89801699716713,81.22379603399433,DEU
Sailing Mixed Two Person Dinghy,F,29.0,158.5,52.0,COL
Sailing Mixed Two Person Dinghy,M,24.611940298507463,175.63432835820896,68.42164179104478,BRA
Sailing Mixed Two Person Heavyweight Dinghy,M,28.688144329896907,179.87886597938143,77.95876288659794,DEU
Sailing Mixed Two Person Keelboat,F,48.0,168.0,65.0,GBR
Sailing Mixed Two Person Keelboat,M,32.92822966507177,182.64114832535884,87.41267942583733,DEU
Sailing Mixed Windsurfer,M,23.35135135135135,174.72972972972974,65.89189189189189,ARG
Sailing Women's One Person Dinghy,F,24.915422885572138,170.17910447761193,65.34328358208955,NZL
Sailing Women's Skiff,F,25.289473684210527,168.81578947368422,64.07894736842105,ARG
Sailing Women's Three Person Keelboat,F,28.82170542635659,169.31782945736435,65.6046511627907,AUS
Sailing Women's Two Person Dinghy,F,26.45819397993311,169.81270903010034,61.94648829431438,DEU
Sailing Women's Windsurfer,F,27.46242774566474,168.6184971098266,58.809248554913296,BRA
"Shooting Men's Air Pistol, 10 metres",M,33.982608695652175,176.35652173913044,79.98260869565217,CHN
"Shooting Men's Air Rifle, 10 metres",M,28.919117647058822,176.84558823529412,75.2953431372549,DEU
Shooting Men's Double Trap,M,32.95070422535211,180.1056338028169,86.15492957746478,USA
"Shooting Men's Free Pistol, 50 metres",M,34.906444906444904,175.23908523908523,78.45114345114345,DEU
"Shooting Men's Free Rifle, Three Positions, 300 metres",M,32.15873015873016,172.95238095238096,73.12698412698413,CHE
"Shooting Men's Rapid-Fire Pistol, 25 metres",M,33.86666666666667,175.23636363636365,76.9969696969697,DEU
"Shooting Men's Running Target, 10 metres",M,27.746478873239436,178.8732394366197,78.85915492957747,CHN
"Shooting Men's Running Target, 50 metres",M,27.41304347826087,177.7608695652174,77.8913043478261,CHN
Shooting Men's Skeet,M,33.16872427983539,177.0411522633745,83.52674897119341,ITA
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",M,32.79396984924623,176.44053601340033,76.53601340033501,DEU
"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",M,31.128458498023715,176.75691699604744,76.6600790513834,DEU
Shooting Men's Trap,M,35.71940298507463,178.2776119402985,86.39701492537313,ITA
"Shooting Mixed Free Pistol, 50 metres",F,32.5,160.0,61.0,BEL
"Shooting Mixed Free Pistol, 50 metres",M,34.43,172.92,73.815,DEU
"Shooting Mixed Free Rifle, Three Positions, 300 metres",M,29.714285714285715,175.15873015873015,73.7936507936508,DEU
"Shooting Mixed Rapid-Fire Pistol, 25 metres",M,33.783251231527096,174.6551724137931,75.64532019704434,DEU
"Shooting Mixed Running Target, 50 metres",M,29.5,178.20833333333334,78.13194444444444,DEU
Shooting Mixed Skeet,F,30.8125,167.1875,63.9375,MEX
Shooting Mixed Skeet,M,32.35579514824798,176.69272237196765,77.7277628032345,DEU
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",F,31.5,167.6,66.8,BEL
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",M,33.83838383838384,173.9023569023569,73.25589225589225,DEU
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",F,23.4,167.6,68.4,BGR
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",M,31.672897196261683,174.5373831775701,73.18691588785046,DEU
Shooting Mixed Trap,F,29.0,170.55555555555554,68.33333333333333,CAN
Shooting Mixed Trap,M,34.38343558282209,176.43558282208588,80.44478527607362,ITA
"Shooting Women's Air Pistol, 10 metres",F,30.67484662576687,164.63803680981596,61.70552147239264,CHN
"Shooting Women's Air Rifle, 10 metres",F,26.32994923857868,164.06091370558374,58.46954314720812,DEU
Shooting Women's Double Trap,F,30.80392156862745,168.11764705882354,66.68627450980392,AUS
Shooting Women's Skeet,F,31.74390243902439,166.28048780487805,65.09756097560975,USA
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",F,27.36,164.20615384615385,59.32,DEU
"Shooting Women's Sporting Pistol, 25 metres",F,31.093939393939394,164.62727272727273,61.22727272727273,CHN
Shooting Women's Trap,F,33.364583333333336,168.3125,67.53645833333333,AUS
Softball Women's Softball,F,26.22902494331066,169.42857142857142,67.47165532879819,AUS
"Swimming Men's 1,500 metres Freestyle",M,20.17633410672854,182.4385150812065,74.78538283062645,USA
Swimming Men's 10 kilometres Open Water,M,25.87837837837838,182.44594594594594,76.95945945945945,RUS
Swimming Men's 100 metres Backstroke,M,21.005545286506468,184.8022181146026,77.16081330868762,DEU
Swimming Men's 100 metres Breaststroke,M,21.98090277777778,183.51388888888889,77.83159722222223,DEU
Swimming Men's 100 metres Butterfly,M,21.8578856152513,183.25129982668977,77.47227036395147,DEU
Swimming Men's 100 metres Freestyle,M,21.640449438202246,185.67540574282148,79.4019975031211,DEU
Swimming Men's 200 metres Backstroke,M,20.81578947368421,184.36622807017545,76.4298245614035,USA
Swimming Men's 200 metres Breaststroke,M,21.56987295825771,182.18330308529946,76.61887477313975,USA
Swimming Men's 200 metres Butterfly,M,20.983367983367984,181.04158004158003,75.03326403326403,USA
Swimming Men's 200 metres Freestyle,M,20.98141891891892,185.83783783783784,79.07516891891892,DEU
Swimming Men's 200 metres Individual Medley,M,21.554603854389722,183.78372591006425,77.35117773019272,DEU
